name,description,minutes,tags,steps,ingredients,Calories,Protein,Fat,Sugar,Sodium,Iron,Vitamin C,Cholesterol,Trans Fat,Calcium
Spaghetti Carbonara,A delicious dish made with Sugar and other ingredients.,25,"Italian,Recipe,Quick,Vegetarian,Low Fat","Prepare the Parmesan cheese., Prepare the Tortillas., Prepare the Spinach., Prepare the Onions., Prepare the Cocoa powder.","Parmesan cheese, Tortillas, Cocoa powder, Spinach, Onions",358,13,13,13,1163,4.55,93,69,6.73,845
Tomato Soup,A delicious dish made with Chicken and other ingredients.,52,"American,Recipe,Vegetarian","Prepare the Cheese., Prepare the Pepper., Prepare the Cheese., Prepare the Lettuce., Prepare the Lettuce.","Lettuce, Cheese, Pepper",306,36,24,11,240,1.33,49,155,2.52,755
Caesar Salad,A delicious dish made with Coconut milk and other ingredients.,49,"American,Recipe,Vegetarian","Prepare the Cumin., Prepare the Vegetable broth., Prepare the Vegetable broth., Prepare the Tortillas., Prepare the Vegetable broth.","Vegetable broth, Cumin, Tortillas",633,32,23,16,394,1.27,2,0,6.65,868
Chicken Curry,A delicious dish made with Flour and other ingredients.,17,"Indian,Recipe,Quick,Vegetarian","Prepare the Broccoli., Prepare the Sugar., Prepare the Caesar dressing., Prepare the Sugar., Prepare the Caesar dressing.","Sugar, Caesar dressing, Broccoli",366,6,23,25,1374,0.61,12,71,2.86,336
Vegetable Stir Fry,A delicious dish made with Olive oil and other ingredients.,34,"Asian,Recipe","Prepare the Chicken., Prepare the Vegetable broth., Prepare the Beef., Prepare the Chicken., Prepare the Chicken.","Chicken, Beef, Vegetable broth",761,46,40,10,763,2.75,41,218,9.41,220
Beef Tacos,A delicious dish made with Pepper and other ingredients.,25,"General,Recipe,Quick,Vegetarian","Prepare the Spinach., Prepare the Coconut milk., Prepare the Coconut milk., Prepare the Garlic., Prepare the Garlic.","Sugar, Vegetable broth, Garlic, Coconut milk, Cilantro, Spinach",609,7,21,28,1013,4.0,21,244,9.01,429
Lemon Garlic Salmon,A delicious dish made with Vegetable broth and other ingredients.,42,"General,Recipe,Vegetarian,Low Fat","Prepare the Balsamic vinegar., Prepare the Cilantro., Prepare the Sugar., Prepare the Cilantro., Prepare the Cocoa powder.","Balsamic vinegar, Sugar, Cilantro, Coconut milk, Spinach, Cocoa powder",723,45,2,6,987,0.75,92,124,8.01,57
Margherita Pizza,A delicious dish made with Salt and other ingredients.,43,"General,Recipe","Prepare the Flour., Prepare the Flour., Prepare the Vegetable broth., Prepare the Vegetable broth., Prepare the Flour.","Pork, Vegetable broth, Cheese, Flour",643,35,16,30,1450,0.24,71,202,1.93,917
Chocolate Cake,A delicious dish made with Rosemary and other ingredients.,18,"General,Recipe,Quick","Prepare the Pork., Prepare the Rice., Prepare the Eggs., Prepare the Eggs., Prepare the Pork.","Garlic, Ginger, Eggs, Rice, Pork",740,34,20,17,1204,2.25,52,251,5.46,263
Pancakes,A delicious dish made with Cilantro and other ingredients.,19,"General,Recipe,Quick,Vegetarian","Prepare the Basil., Prepare the Chili powder., Prepare the Balsamic vinegar., Prepare the Rosemary., Prepare the Chili powder.","Chili powder, Balsamic vinegar, Basil, Rosemary, Caesar dressing, Pepper",533,31,16,24,1392,4.68,89,201,3.35,637
Grilled Cheese,A delicious dish made with Butter and other ingredients.,46,"General,Recipe,Vegetarian,Low Fat","Prepare the Tortillas., Prepare the Tortillas., Prepare the Cocoa powder., Prepare the Chili powder., Prepare the Chili powder.","Cocoa powder, Chili powder, Tortillas, Tomatoes",305,41,3,23,1442,4.83,76,238,0.53,876
Mushroom Risotto,A delicious dish made with Cheese and other ingredients.,21,"General,Recipe,Quick,Vegetarian","Prepare the Pepper., Prepare the Pepper., Prepare the Cilantro., Prepare the Cilantro., Prepare the Cilantro.","Bell peppers, Cilantro, Pepper",222,12,26,28,818,3.28,19,264,3.82,664
Beef Stroganoff,A delicious dish made with Beef and other ingredients.,36,"General,Recipe,Vegetarian","Prepare the Flour., Prepare the Flour., Prepare the Rosemary., Prepare the Ginger., Prepare the Flour.","Rosemary, Pasta, Flour, Ginger, Pepper",622,35,39,7,1191,3.46,42,231,6.7,531
Shrimp Scampi,A delicious dish made with Lettuce and other ingredients.,54,"General,Recipe,Vegetarian","Prepare the Spinach., Prepare the Pepper., Prepare the Balsamic vinegar., Prepare the Salt., Prepare the Tortillas.","Pepper, Spinach, Salt, Balsamic vinegar, Tortillas",171,29,34,4,19,3.59,72,214,3.77,481
Quiche Lorraine,A delicious dish made with Balsamic vinegar and other ingredients.,49,"General,Recipe,Vegetarian,Low Fat","Prepare the Sugar., Prepare the Sugar., Prepare the Broccoli., Prepare the Sugar., Prepare the Tomatoes.","Broccoli, Ginger, Sugar, Tomatoes, Tortillas",444,39,13,9,271,1.69,95,41,4.22,257
Stuffed Peppers,A delicious dish made with Onions and other ingredients.,50,"General,Recipe,Vegetarian","Prepare the Rice., Prepare the Eggs., Prepare the Sugar., Prepare the Carrots., Prepare the Carrots.","Carrots, Basil, Cheese, Sugar, Eggs, Rice",459,48,29,5,328,0.21,53,244,2.88,849
BBQ Ribs,A delicious dish made with Coconut milk and other ingredients.,52,"General,Recipe,Vegetarian","Prepare the Broccoli., Prepare the Cocoa powder., Prepare the Cocoa powder., Prepare the Lemon., Prepare the Cocoa powder.","Lemon, Olive oil, Cocoa powder, Broccoli",214,35,27,28,1343,2.75,61,170,0.65,918
Fish Tacos,A delicious dish made with Cocoa powder and other ingredients.,59,"General,Recipe,Vegetarian,Low Fat","Prepare the Balsamic vinegar., Prepare the Rice., Prepare the Ginger., Prepare the Rice., Prepare the Rice.","Balsamic vinegar, Rice, Ginger, Cumin",737,44,14,13,380,3.99,81,151,2.11,250
Pulled Pork Sandwich,A delicious dish made with Tortillas and other ingredients.,54,"General,Recipe,Vegetarian","Prepare the Vegetable broth., Prepare the Vegetable broth., Prepare the Olive oil., Prepare the Olive oil., Prepare the Olive oil.","Pasta, Olive oil, Broccoli, Vegetable broth",323,39,25,2,358,2.89,17,209,0.41,58
Pad Thai,A delicious dish made with Croutons and other ingredients.,32,"General,Recipe","Prepare the Pork., Prepare the Bell peppers., Prepare the Bell peppers., Prepare the Pork., Prepare the Bell peppers.","Flour, Chili powder, Pork, Vegetable broth, Bell peppers",512,13,25,11,1277,2.76,15,115,7.53,919
Ratatouille,A delicious dish made with Cilantro and other ingredients.,50,"General,Recipe,Vegetarian,Low Fat","Prepare the Cocoa powder., Prepare the Cocoa powder., Prepare the Cocoa powder., Prepare the Rice., Prepare the Rice.","Cocoa powder, Rice, Lemon",579,42,1,28,1030,0.67,87,237,6.18,145
Eggplant Parmesan,A delicious dish made with Cheese and other ingredients.,49,"General,Recipe,Low Fat","Prepare the Pasta., Prepare the Lemon., Prepare the Pork., Prepare the Caesar dressing., Prepare the Pork.","Pork, Pasta, Lemon, Garlic, Caesar dressing",214,36,13,21,1236,2.01,41,267,7.92,226
Fried Rice,A delicious dish made with Olive oil and other ingredients.,45,"General,Recipe,Vegetarian","Prepare the Flour., Prepare the Thyme., Prepare the Thyme., Prepare the Thyme., Prepare the Thyme.","Tomatoes, Thyme, Butter, Flour, Salt",684,6,19,9,757,2.24,82,7,0.6,70
Chicken Alfredo,A delicious dish made with Chili powder and other ingredients.,21,"General,Recipe,Quick,Vegetarian","Prepare the Cocoa powder., Prepare the Parmesan cheese., Prepare the Parmesan cheese., Prepare the Lemon., Prepare the Cocoa powder.","Caesar dressing, Carrots, Croutons, Parmesan cheese, Cocoa powder, Lemon",675,46,38,3,1157,4.65,61,94,3.98,642
Baked Ziti,A delicious dish made with Basil and other ingredients.,29,"General,Recipe,Quick,Vegetarian","Prepare the Bell peppers., Prepare the Ginger., Prepare the Bell peppers., Prepare the Shrimp., Prepare the Ginger.","Ginger, Bell peppers, Shrimp",647,30,39,23,305,1.59,82,217,8.77,886
Chili,A delicious dish made with Sugar and other ingredients.,44,"General,Recipe","Prepare the Bell peppers., Prepare the Lemon., Prepare the Beef., Prepare the Coconut milk., Prepare the Bell peppers.","Coconut milk, Bell peppers, Beef, Lemon, Chicken, Flour",578,27,39,25,1455,0.37,58,204,9.96,271
Lentil Soup,A delicious dish made with Chicken and other ingredients.,40,"General,Recipe,Vegetarian","Prepare the Shrimp., Prepare the Pepper., Prepare the Carrots., Prepare the Pasta., Prepare the Carrots.","Pasta, Pepper, Shrimp, Cocoa powder, Carrots",258,35,40,12,35,0.93,52,201,6.77,278
Pesto Pasta,A delicious dish made with Beef and other ingredients.,42,"General,Recipe,Low Fat","Prepare the Cheese., Prepare the Cheese., Prepare the Pepper., Prepare the Pork., Prepare the Pepper.","Cumin, Pepper, Cheese, Pork, Ginger",428,42,11,2,543,4.39,31,99,0.22,728
Minestrone Soup,A delicious dish made with Bell peppers and other ingredients.,31,"General,Recipe,Vegetarian,Low Fat","Prepare the Eggs., Prepare the Bell peppers., Prepare the Eggs., Prepare the Eggs., Prepare the Ginger.","Ginger, Spinach, Bell peppers, Shrimp, Eggs, Olive oil",443,41,12,23,391,0.66,77,245,5.88,49
Beef Burgers,A delicious dish made with Croutons and other ingredients.,48,"General,Recipe,Vegetarian","Prepare the Soy sauce., Prepare the Shrimp., Prepare the Soy sauce., Prepare the Shrimp., Prepare the Soy sauce.","Pepper, Soy sauce, Shrimp",673,18,27,13,1102,1.63,32,63,3.16,987
